Week,Team,Player,Score,Position
1,Elaf,Joe Burrow,4,QB
1,Marco,Justin Herbert,10,QB
1,Doy,Kirk Cousins,6,QB
1,Julio,Jalen Hurts,29,QB
1,Kenny,C.J. Stroud,22,QB
1,ATL,Lamar Jackson,32,QB
2,ATL,Lamar Jackson,15,QB
2,Doy,Kirk Cousins,25,QB
2,Julio,Jalen Hurts,20,QB
2,Marco,Justin Herbert,15,QB
2,Elaf,Joe Burrow,22,QB
2,Kenny,C.J. Stroud,18,QB
3,Jay,Brock Purdy,37,QB
3,Doy,Derek Carr,7,QB
3,Kenny,C.J. Stroud,12,QB
3,Elaf,Joe Burrow,38,QB
3,Julio,Jalen Hurts,12,QB
3,ATL,Lamar Jackson,24,QB
4,Elaf,Joe Burrow,25,QB
4,Marco,Caleb Williams,10,QB
4,Julio,Baker Mayfield,34,QB
4,Kenny,Jared Goff,36,QB
4,ATL,Lamar Jackson,27,QB
4,Doy,Geno Smith,22,QB
1,Zeus,Kyler Murray,14,QB
1,Monaf,Anthony Richardson,40,QB
1,Jay,Jordan Love,27,QB
1,Ivo,Dak Prescott,11,QB
1,Gaybo,Patrick Mahomes,17,QB
1,Greg,Josh Allen,38,QB
2,Zeus,Kyler Murray,42,QB
2,Ivo,Dak Prescott,20,QB
2,Greg,Josh Allen,10,QB
2,Gaybo,Patrick Mahomes,17,QB
2,Monaf,Anthony Richardson,13,QB
2,Jay,Brock Purdy,17,QB
3,Marco,Justin Herbert,11,QB
3,Greg,Josh Allen,43,QB
3,Ivo,Dak Prescott,33,QB
3,Gaybo,Patrick Mahomes,21,QB
3,Zeus,Kyler Murray,17,QB
3,Monaf,Anthony Richardson,1,QB
4,Jay,Brock Purdy,16,QB
4,Ivo,Dak Prescott,27,QB
4,Monaf,C.J. Stroud,27,QB
4,Greg,Josh Allen,5,QB
4,Gaybo,Patrick Mahomes,18,QB
4,Zeus,Kyler Murray,9,QB
1,Elaf,Isiah Pacheco,13,RB1
1,Marco,James Conner,17,RB1
1,Doy,Breece Hall,14,RB1
1,Julio,Jonathan Taylor,10,RB1
1,Kenny,Kyren Williams,11,RB1
1,ATL,Jahmyr Gibbs,13,RB1
2,ATL,Jahmyr Gibbs,11,RB1
2,Doy,Breece Hall,19,RB1
2,Julio,Jonathan Taylor,13,RB1
2,Marco,James Conner,18,RB1
2,Elaf,Isiah Pacheco,11,RB1
2,Kenny,Kyren Williams,10,RB1
3,Jay,Josh Jacobs,4,RB1
