Round,Slot,Team,Player
1,1,Gaybo,Christian McCaffrey SFO (RB)
1,2,Zeus,Saquon Barkley PHI (RB)
1,3,Doy,Breece Hall NYJ (RB)
1,4,Monaf,Bijan Robinson ATL (RB)
1,5,Jay,CeeDee Lamb DAL (WR)
1,6,Julio,Jonathan Taylor IND (RB)
1,7,ATL,Jahmyr Gibbs DET (RB)
1,8,Kenny,Tyreek Hill MIA (WR)
1,9,Greg,Justin Jefferson MIN (WR)
1,10,Elaf,Amon-Ra St. Brown DET (WR)
1,11,Marco,Ja'Marr Chase CIN (WR)
1,12,Ivo,Travis Etienne Jr. JAC (RB)
2,1,Gaybo,Patrick Mahomes II KCC (QB)
2,2,Zeus,Joe Mixon HOU (RB)
2,3,Doy,Davante Adams LVR (WR)
2,4,Monaf,James Cook BUF (RB)
2,5,Jay,Josh Jacobs GBP (RB)
2,6,Julio,Rachaad White TBB (RB)
2,7,ATL,A.J. Brown PHI (WR)
2,8,Kenny,Kyren Williams LAR (RB)
2,9,Greg,Derrick Henry BAL (RB)
2,10,Elaf,Isiah Pacheco KCC (RB)
2,11,Marco,Garrett Wilson NYJ (WR)
2,12,Ivo,De'Von Achane MIA (RB)
3,1,Gaybo,Travis Kelce KCC (TE)
3,2,Zeus,Alvin Kamara NOS (RB)
3,3,Doy,Kenneth Walker III SEA (RB)
3,4,Monaf,Marvin Harrison Jr. ARI (WR)
3,5,Jay,Chris Olave NOS (WR)
3,6,Julio,Jalen Hurts PHI (QB)
3,7,ATL,Lamar Jackson HOU (QB)
3,8,Kenny,C.J. Stroud HOU (QB)
3,9,Greg,Josh Allen BUF (QB)
3,10,Elaf,Joe Burrow CIN (QB)
3,11,Marco,Puka Nacua LAR (WR)
3,12,Ivo,Nico Collins HOU (WR)
4,1,Gaybo,Raheem Mostert MIA (RB)
4,2,Zeus,Jaylen Waddle MIA (WR)
4,3,Doy,Jaylen Warren PIT (RB)
4,4,Monaf,David Montgomery DET (RB)
4,5,Jay,Rhamondre Stevenson NEP (RB)
4,6,Julio,Mike Evans TBB (WR)
4,7,ATL,Drake London ATL (WR)
4,8,Kenny,Nick Chubb CLE (RB)
4,9,Greg,Cooper Kupp LAR (WR)
4,10,Elaf,D'Andre Swift CHI (RB)
4,11,Marco,James Conner ARI (RB)
4,12,Ivo,Dak Prescott DAL (QB)
5,1,Gaybo,Stefon Diggs HOU (WR)
5,2,Zeus,DK Metcalf SEA (WR)
5,3,Doy,Deebo Samuel Sr. SFO (WR)
5,4,Monaf,Brandon Aiyuk SFO (WR)
5,5,Jay,Brian Robinson Jr. WAS (RB)
5,6,Julio,DeVonta Smith PHI (WR)
5,7,ATL,Aaron Jones MIN (RB)
5,8,Kenny,Tony Pollard TEN (RB)
5,9,Greg,Javonte Williams DEN (RB)
5,10,Elaf,Tee Higgins CIN (WR)
5,11,Marco,Sam LaPorta DET (TE)
5,12,Ivo,George Kittle SFO (TE)
6,1,Gaybo,Michael Pittman Jr. IND (WR)
6,2,Zeus,Zamir White LVR (RB)
6,3,Doy,Amari Cooper CLE (WR)
6,4,Monaf,Anthony Richardson IND (QB)
6,5,Jay,Jordan Love GBP (QB)
6,6,Julio,George Pickens PIT (WR)
6,7,ATL,Calvin Ridley TEN (WR)
6,8,Kenny,Tank Dell HOU (WR)
6,9,Greg,Malik Nabers NYG (WR)
6,10,Elaf,Jerome Ford CLE (RB)
6,11,Marco,Najee Harris PIT (RB)
6,12,Ivo,Chase Brown CIN (RB)
7,1,Gaybo,Gus Edwards LAC (RB)
7,2,Zeus,Kyler Murray ARI (QB)
7,3,Doy,Kirk Cousins ATL (QB)
7,4,Monaf,Blake Corum LAR (RB)
7,5,Jay,Zay Flowers BAL (WR)
7,6,Julio,Cleveland Browns CLE (DEF)
7,7,ATL,Jonathon Brooks CAR (RB)
7,8,Kenny,DJ Moore CHI (WR)
7,9,Greg,Chuba Hubbard CAR (RB)
7,10,Elaf,Rashee Rice KCC (WR)
7,11,Marco,Terry McLaurin WAS (WR)
7,12,Ivo,Christian Watson GBP (WR)
8,1,Gaybo,Zack Moss CIN (RB)
8,2,Zeus,Trevor Lawrence JAC (QB)
8,3,Doy,Zach Charbonnet SEA (RB)
8,4,Monaf,Xavier Worthy KCC (WR)
8,5,Jay,Tyjae Spears TEN (RB)
