Week,Marco,Monaf,Kenny,Gaybo,Doy,Jay,Julio,Ivo,Greg,ATL,Zeus,Elaf
1.0,Monaf,Marco,Gaybo,Kenny,Jay,Doy,Ivo,Julio,ATL,Greg,Elaf,Zeus
2.0,Gaybo,Elaf,Jay,Marco,Ivo,Kenny,Greg,Doy,Julio,Zeus,ATL,Monaf
3.0,Jay,ATL,Ivo,Elaf,Greg,Marco,Zeus,Kenny,Doy,Monaf,Julio,Gaybo
4.0,Ivo,Julio,Greg,ATL,Zeus,Elaf,Monaf,Marco,Kenny,Gaybo,Doy,Jay
5.0,Greg,Doy,Zeus,Julio,Monaf,ATL,Gaybo,Elaf,Marco,Jay,Kenny,Ivo
6.0,Kenny,Gaybo,Marco,Monaf,ATL,Zeus,Elaf,Greg,Ivo,Doy,Jay,Julio
7.0,Doy,Zeus,Julio,Ivo,Marco,Greg,Kenny,Gaybo,Jay,Elaf,Monaf,ATL
8.0,Zeus,Kenny,Monaf,Doy,Gaybo,Julio,Jay,ATL,Elaf,Ivo,Marco,Greg
9.0,Julio,Greg,ATL,Zeus,Elaf,Ivo,Marco,Jay,Monaf,Kenny,Gaybo,Doy
10.0,ATL,Jay,Elaf,Greg,Julio,Monaf,Doy,Zeus,Gaybo,Marco,Ivo,Kenny
11.0,Elaf,Ivo,Doy,Jay,Kenny,Gaybo,ATL,Monaf,Zeus,Julio,Greg,Marco
12.0,Monaf,Marco,Gaybo,Kenny,Jay,Doy,Ivo,Julio,ATL,Greg,Elaf,Zeus
13.0,Gaybo,Elaf,Jay,Marco,Ivo,Kenny,Greg,Doy,Julio,Zeus,ATL,Monaf
14.0,Jay,ATL,Ivo,Elaf,Greg,Marco,Zeus,Kenny,Doy,Monaf,Julio,Gaybo
