Week,Team,Player,Score,Position
1,Paco,Josh Allen BUF,45,QB
1,Julio,Baker Mayfield TBB,29,QB
1,Kenny,Patrick Mahomes II KCC,31,QB
1,Doy,Joe Burrow CIN,9,QB
1,Chuy,Jordan Love GBP,17,QB
1,Jay,Justin Herbert LAC,38,QB
2,Kenny,Patrick Mahomes II KCC,23,QB
2,Monaf,Trevor Lawrence JAC,25,QB
2,Chuy,Jordan Love GBP,24,QB
2,Doy,Joe Burrow CIN,9,QB
2,Jay,Justin Herbert LAC,31,QB
2,Elaf,Drake Maye NEP,31,QB
3,Elaf,Drake Maye NEP,24,QB
3,Kenny,Patrick Mahomes II KCC,15,QB
3,ATL,Lamar Jackson BAL,35,QB
3,Julio,Baker Mayfield TBB,19,QB
3,Larry,Bo Nix DEN,17,QB
3,Doy,Matthew Stafford LAR,17,QB
4,Doy,Matthew Stafford LAR,43,QB
4,Larry,Bo Nix DEN,32,QB
4,ATL,Lamar Jackson BAL,11,QB
4,Monaf,Brock Purdy SFO,26,QB
4,Kenny,Patrick Mahomes II KCC,36,QB
4,Paco,Josh Allen BUF,34,QB
5,Paco,Josh Allen BUF,24,QB
5,Doy,Matthew Stafford LAR,35,QB
5,Kenny,Patrick Mahomes II KCC,28,QB
5,Gaybo,Jalen Hurts PHI,27,QB
5,Monaf,Geno Smith LVR,5,QB
5,Greg,Justin Fields NYJ,29,QB
6,Kenny,Patrick Mahomes II KCC,37,QB
6,Paco,Josh Allen BUF,17,QB
6,Gaybo,Jalen Hurts PHI,21,QB
6,Doy,Matthew Stafford LAR,9,QB
6,Greg,Jayden Daniels WAS,34,QB
6,Chuy,Jordan Love GBP,16,QB
7,Chuy,Jordan Love GBP,11,QB
7,Kenny,Patrick Mahomes II KCC,31,QB
7,Julio,Baker Mayfield TBB,14,QB
7,Gaybo,Jalen Hurts PHI,44,QB
7,Elaf,Drake Maye NEP,30,QB
7,Greg,Jayden Daniels WAS,18,QB
8,Elaf,Drake Maye NEP,34,QB
8,Kenny,Patrick Mahomes II KCC,30,QB
8,Greg,Spencer Rattler NOS,1,QB
8,Larry,Bo Nix DEN,34,QB
8,Gaybo,Jalen Hurts PHI,34,QB
8,Julio,Baker Mayfield TBB,3,QB
9,Julio,Joe Flacco CLE,47,QB
9,Gaybo,Jacoby Brissett ARI,30,QB
9,Larry,Bo Nix DEN,22,QB
9,Chuy,Jordan Love GBP,7,QB
9,Doy,Matthew Stafford LAR,38,QB
9,Kenny,Patrick Mahomes II KCC,9,QB
10,Kenny,Sam Darnold SEA,10,QB
10,Doy,Doy Dahmer NAPA,0,QB
10,Elaf,Drake Maye NEP,27,QB
10,Chuy,Jordan Love GBP,5,QB
10,Larry,Bo Nix DEN,5,QB
10,Paco,Josh Allen BUF,30,QB
11,Elaf,Drake Maye NEP,17,QB
11,Chuy,Jordan Love GBP,18,QB
11,Paco,Dak Prescott DAL,38,QB
11,Kenny,Patrick Mahomes II KCC,16,QB
11,Monaf,Brock Purdy SFO,36,QB
11,Jay,Justin Herbert LAC,2,QB
12,Jay,Justin Herbert LAC,21,QB
12,Larry,Shedeur Sanders CLE,18,QB
12,Paco,Josh Allen BUF,8,QB
12,Kenny,Patrick Mahomes II KCC,17,QB
12,Julio,Baker Mayfield TBB,7,QB
12,Greg,Dak Prescott DAL,31,QB
13,Greg,Dak Prescott DAL,25,QB
13,Doy,Matthew Stafford LAR,17,QB
13,Monaf,Trevor Lawrence JAC,28,QB
13,Chuy,Jordan Love GBP,40,QB
13,Kenny,Patrick Mahomes II KCC,40,QB
13,Jay,Justin Herbert LAC,7,QB
14,Jay,Jared Goff DET,20,QB
14,Chuy,Jordan Love GBP,34,QB
14,Kenny,Patrick Mahomes II KCC,3,QB
14,Gaybo,Jalen Hurts PHI,2,QB
14,Monaf,Trevor Lawrence JAC,30,QB
14,Greg,Dak Prescott DAL,23,QB
1,Elaf,Drake Maye NEP,15,QB
1,ATL,Lamar Jackson BAL,39,QB
1,Gaybo,Jalen Hurts PHI,21,QB
1,Larry,Bo Nix DEN,7,QB
1,Greg,Jayden Daniels WAS,21,QB
1,Monaf,Trevor Lawrence JAC,7,QB
2,Larry,Bo Nix DEN,28,QB
2,Julio,Baker Mayfield TBB,27,QB
2,ATL,Lamar Jackson BAL,39,QB
2,Paco,Josh Allen BUF,8,QB
2,Gaybo,Jalen Hurts PHI,10,QB
2,Greg,Jayden Daniels WAS,27,QB
3,Chuy,Jordan Love GBP,7,QB
3,Paco,Josh Allen BUF,32,QB
3,Monaf,Trevor Lawrence JAC,6,QB
3,Gaybo,Jalen Hurts PHI,40,QB
