Week,ATL,Chuy,Doy,Elaf,Gaybo,Greg,Jay,Julio,Kenny,Larry,Monaf,Paco
1,Julio,Greg,Larry,Paco,Kenny,Chuy,Monaf,ATL,Gaybo,Doy,Jay,Elaf
2,Chuy,ATL,Paco,Greg,Jay,Elaf,Gaybo,Monaf,Larry,Kenny,Julio,Doy
3,Monaf,Elaf,Greg,Chuy,Julio,Doy,Larry,Gaybo,Paco,Jay,ATL,Kenny
4,Elaf,Doy,Chuy,ATL,Monaf,Kenny,Paco,Larry,Greg,Julio,Gaybo,Jay
5,Gaybo,Kenny,Elaf,Doy,ATL,Jay,Greg,Paco,Chuy,Monaf,Larry,Julio
6,Doy,Jay,ATL,Kenny,Larry,Julio,Chuy,Greg,Elaf,Gaybo,Paco,Monaf
7,Greg,Paco,Gaybo,Larry,Doy,ATL,Julio,Jay,Monaf,Elaf,Kenny,Chuy
8,Larry,Julio,Kenny,Jay,Paco,Monaf,Elaf,Chuy,Doy,ATL,Greg,Gaybo
9,Kenny,Monaf,Jay,Julio,Greg,Gaybo,Doy,Elaf,ATL,Paco,Chuy,Larry
10,Paco,Gaybo,Julio,Monaf,Chuy,Larry,Kenny,Doy,Jay,Greg,Elaf,ATL
11,Jay,Larry,Monaf,Gaybo,Elaf,Paco,ATL,Kenny,Julio,Chuy,Doy,Greg
12,Julio,Greg,Larry,Paco,Kenny,Chuy,Monaf,ATL,Gaybo,Doy,Jay,Elaf
13,Chuy,ATL,Paco,Greg,Jay,Elaf,Gaybo,Monaf,Larry,Kenny,Julio,Doy
14,Monaf,Elaf,Greg,Chuy,Julio,Doy,Larry,Gaybo,Paco,Jay,ATL,Kenny
