Week,Team,Player,Cost
5,Gaybo,Emari Demercado ARI (RB),20
5,Doy,Romeo Doubs GBP (WR),20
5,Greg,Brashard Smith KCC (RB),20
5,Chuy,Wan'Dale Robinson NYG (WR),20
5,Julio,Jacksonville Jaguars JAC (DEF),20
5,ATL,Carson Wentz FA (QB),20
5,Chuy,Isaiah Bond CLE (WR),40
5,Julio,Jalen Coker CAR (WR),40
5,Chuy,Sean Tucker TBB (RB),60
6,Monaf,Michael Carter ARI (RB),20
6,Elaf,Kimani Vidal LAC (RB),20
6,Greg,Hassan Haskins LAC (RB),40
6,Julio,Dalton Kincaid BUF (TE),60
7,Chuy,Kayshon Boutte NEP (WR),80
8,Jay,Eddy Pineiro FA (K),20
8,Julio,Jake Ferguson DAL (TE),80
8,ATL,Tez Johnson TBB (WR),40
9,Gaybo,Jacoby Brissett ARI (QB),40
9,Monaf,Tucker Kraft GBP (TE),40
9,Chuy,Oronde Gadsden II LAC (TE),100
10,ATL,Emari Demercado ARI (RB),60
