Week,ATL,Bala,Choy,Chuy,Elaf,Gaybo,Greg,Jay,Julio,Kenny,Monaf,Paco
1,Jay,Paco,Kenny,Greg,Monaf,Julio,Chuy,ATL,Gaybo,Choy,Elaf,Bala
2,Bala,ATL,Elaf,Paco,Choy,Monaf,Kenny,Julio,Jay,Greg,Gaybo,Chuy
3,Chuy,Julio,Monaf,ATL,Greg,Jay,Elaf,Gaybo,Bala,Paco,Choy,Kenny
4,Kenny,Gaybo,Greg,Julio,Paco,Bala,Choy,Monaf,Chuy,ATL,Jay,Elaf
5,Elaf,Jay,Paco,Gaybo,ATL,Chuy,Monaf,Bala,Kenny,Julio,Greg,Choy
6,Choy,Monaf,ATL,Jay,Julio,Kenny,Paco,Chuy,Elaf,Gaybo,Bala,Greg
RIVALRY WEEK 7,Greg,Chuy,Julio,Bala,Gaybo,Elaf,ATL,Kenny,Choy,Jay,Paco,Monaf
8,Paco,Kenny,Gaybo,Monaf,Jay,Choy,Julio,Elaf,Greg,Bala,Chuy,ATL
9,Monaf,Elaf,Jay,Kenny,Bala,Greg,Gaybo,Choy,Paco,Chuy,ATL,Julio
10,Julio,Choy,Bala,Elaf,Chuy,Paco,Jay,Greg,ATL,Monaf,Kenny,Gaybo
11,Gaybo,Greg,Chuy,Choy,Kenny,ATL,Bala,Paco,Monaf,Elaf,Julio,Jay
12,Jay,Paco,Kenny,Greg,Monaf,Julio,Chuy,ATL,Gaybo,Choy,Elaf,Bala
13,Bala,ATL,Elaf,Paco,Choy,Monaf,Kenny,Julio,Jay,Greg,Gaybo,Chuy
14,Chuy,Julio,Monaf,ATL,Greg,Jay,Elaf,Gaybo,Bala,Paco,Choy,Kenny
