Team,Win/Loss Record,Top 6 Record,Overall Record,Points For,Points Against,Average Points For,Average Points Against,Point Differential,WIN COUNT,LOSS COUNT,Win Percentage,Efficiency,Rank
Zeus,12 - 2,12 - 2,24 - 4,1553,1114,110.9285714,79.57142857,439,24,4,0.8571428571428571,1.3940754039497307,1
ATL,11 - 3,12 - 2,23 - 5,1389,1256,99.21428571,89.71428571,133,23,5,0.8214285714285714,1.105891719745223,2
Greg,7 - 7,11 - 3,18 - 10,1446,1361,103.2857143,97.21428571,85,18,10,0.6428571428571429,1.0624540778839089,3
Julio,9 - 5,8 - 6,17 - 11,1316,1241,94.0,88.64285714,75,17,11,0.6071428571428571,1.0604351329572925,4
Kenny,9 - 5,7 - 7,16 - 12,1253,1105,89.5,78.92857143,148,16,12,0.5714285714285714,1.1339366515837104,5
Elaf,7 - 7,7 - 7,14 - 14,1395,1370,99.64285714,97.85714286,25,14,14,0.5,1.0182481751824817,6
Monaf,7 - 7,6 - 8,13 - 15,1228,1230,87.71428571,87.85714286,-2,13,15,0.4642857142857143,0.9983739837398374,7
Doy,5 - 9,7 - 7,12 - 16,1251,1510,89.35714286,107.8571429,-259,12,16,0.42857142857142855,0.828476821192053,8
Jay,5 - 9,6 - 8,11 - 17,1236,1266,88.28571429,90.42857143,-30,11,17,0.39285714285714285,0.976303317535545,9
Gaybo,6 - 8,1 - 13,7 - 21,961,1136,68.64285714,81.14285714,-175,7,21,0.25,0.8459507042253521,10
Marco,3 - 11,4 - 10,7 - 21,1062,1339,75.85714286,95.64285714,-277,7,21,0.25,0.7931292008961912,11
Ivo,3 - 11,3 - 11,6 - 22,1092,1254,78.0,89.57142857,-162,6,22,0.21428571428571427,0.8708133971291866,12
